客户ID,优先级,流失概率,在网月数,合约类型,月费,历史总消费,上网服务,支付方式,在线安全,技术支持,在线备份,流媒体电视,流媒体电影,老年人,有伴侣,有子女,性别,电子账单
3990-QYKBE,P2-Very High,89.1%,37,Month-to-month,92.5,3473.4,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
0742-NXBGR,P2-Very High,89.1%,1,Month-to-month,82.3,82.3,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,No,Female,Yes
6424-ELEYH,P2-Very High,89.1%,3,Month-to-month,74.75,229.5,Fiber optic,Credit card (automatic),No,No,No,No,No,0,Yes,No,Female,Yes
2260-USTRB,P2-Very High,89.0%,2,Month-to-month,70.2,115.95,Fiber optic,Bank transfer (automatic),No,No,No,No,No,1,No,No,Female,Yes
7225-CBZPL,P2-Very High,89.0%,17,Month-to-month,94.8,1563.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
3420-YJLQT,P2-Very High,89.0%,2,Month-to-month,79.55,151.75,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,No,Female,No
7526-BEZQB,P2-Very High,89.0%,12,Month-to-month,96.05,1148.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
7779-LGOVN,P2-Very High,89.0%,10,Month-to-month,86.65,856.65,Fiber optic,Electronic check,No,No,No,No,Yes,1,Yes,No,Male,Yes
2920-RNCEZ,P2-Very High,89.0%,1,Month-to-month,69.95,69.95,Fiber optic,Credit card (automatic),No,No,No,No,No,0,Yes,Yes,Male,Yes
4854-CIDCF,P2-Very High,89.0%,3,Month-to-month,73.85,196.4,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,No
9237-HQITU,P2-Very High,89.0%,2,Month-to-month,70.7,151.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
3091-FYHKI,P2-Very High,88.9%,1,Month-to-month,35.45,35.45,DSL,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
0841-NULXI,P2-Very High,88.9%,1,Month-to-month,35.55,35.55,DSL,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
8087-LGYHQ,P2-Very High,88.9%,9,Month-to-month,94.05,811.65,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
1062-LHZOD,P2-Very High,88.8%,1,Month-to-month,69.9,69.9,Fiber optic,Mailed check,No,No,No,No,No,0,Yes,Yes,Male,Yes
0225-ZORZP,P2-Very High,88.8%,3,Month-to-month,84.3,235.05,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,No,No,Male,No
1579-KLYDT,P2-Very High,88.8%,7,Month-to-month,90.45,593.45,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
9399-APLBT,P2-Very High,88.8%,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,No,No,Yes,No,No,0,Yes,Yes,Female,Yes
0432-CAJZV,P2-Very High,88.8%,3,Month-to-month,90.7,237.65,Fiber optic,Mailed check,No,No,No,Yes,Yes,0,No,No,Male,No
0231-LXVAP,P2-Very High,88.8%,1,Month-to-month,75.9,75.9,Fiber optic,Electronic check,No,Yes,No,No,No,0,No,No,Male,Yes
8380-PEFPE,P2-Very High,88.7%,1,Month-to-month,71.65,71.65,Fiber optic,Electronic check,No,No,No,No,No,0,No,Yes,Male,Yes
8931-GJJIQ,P2-Very High,88.7%,9,Month-to-month,83.3,803.3,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
1564-NTYXF,P2-Very High,88.7%,13,Month-to-month,82.0,1127.2,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Female,Yes
2737-YNGYW,P2-Very High,88.7%,2,Month-to-month,80.55,184.1,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,No
0325-XBFAC,P2-Very High,88.6%,8,Month-to-month,94.7,740.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
0722-TROQR,P2-Very High,88.6%,4,Month-to-month,74.9,321.75,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
5935-FCCNB,P2-Very High,88.6%,17,Month-to-month,94.2,1608.15,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
7379-FNIUJ,P2-Very High,88.6%,2,Month-to-month,100.2,198.5,Fiber optic,Electronic check,Yes,No,Yes,Yes,Yes,0,No,No,Male,No
6328-ZPBGN,P2-Very High,88.6%,11,Month-to-month,95.15,997.65,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,1,No,No,Female,Yes
5119-NZPTV,P2-Very High,88.6%,2,Month-to-month,70.1,141.65,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,No
9334-GWGOW,P2-Very High,88.6%,7,Month-to-month,74.85,485.25,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
8083-YTZES,P2-Very High,88.5%,4,Month-to-month,74.35,265.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,Yes
7538-GWHML,P2-Very High,88.5%,2,Month-to-month,69.65,145.15,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
6015-VVHHE,P2-Very High,88.5%,5,Month-to-month,83.15,446.05,Fiber optic,Credit card (automatic),No,No,No,Yes,No,1,No,No,Female,Yes
2990-HWIML,P2-Very High,88.5%,6,Month-to-month,89.5,573.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
2024-BASKD,P2-Very High,88.5%,1,Month-to-month,74.6,74.6,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
7273-TEFQD,P2-Very High,88.4%,3,Month-to-month,41.15,132.2,DSL,Electronic check,No,No,No,No,Yes,1,No,No,Male,Yes
0822-GAVAP,P2-Very High,88.4%,2,Month-to-month,34.7,62.25,DSL,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
9957-YODKZ,P2-Very High,88.4%,6,Month-to-month,80.8,457.1,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
5054-IEXZT,P2-Very High,88.4%,1,Month-to-month,75.35,75.35,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,Yes,Male,Yes
6210-KBBPI,P2-Very High,88.4%,9,Month-to-month,99.45,919.4,Fiber optic,Credit card (automatic),No,No,Yes,Yes,Yes,1,No,No,Male,Yes
4853-OITSN,P2-Very High,88.4%,5,Month-to-month,89.15,413.25,Fiber optic,Electronic check,Yes,No,No,No,Yes,0,Yes,No,Male,Yes
0880-TKATG,P2-Very High,88.3%,4,Month-to-month,101.15,385.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,Yes,Male,No
6260-ONULR,P2-Very High,88.3%,1,Month-to-month,62.8,62.8,DSL,Mailed check,No,No,No,Yes,Yes,0,No,No,Male,Yes
8622-ZLFKO,P2-Very High,88.3%,6,Month-to-month,90.75,512.25,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,Yes,No,Female,Yes
1731-TVIUK,P2-Very High,88.3%,4,Month-to-month,93.5,362.2,Fiber optic,Electronic check,No,Yes,Yes,No,Yes,0,No,No,Female,Yes
0375-HVGXO,P2-Very High,88.3%,1,Month-to-month,34.7,34.7,DSL,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
5712-PTIWW,P2-Very High,88.3%,2,Month-to-month,79.85,152.45,Fiber optic,Electronic check,No,Yes,No,No,No,0,No,No,Male,Yes
8357-EQXFO,P2-Very High,88.2%,7,Month-to-month,95.35,660.9,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,Yes
6086-ESGRL,P2-Very High,88.2%,1,Month-to-month,80.15,80.15,Fiber optic,Credit card (automatic),No,No,No,No,Yes,0,No,No,Female,No
3621-CEOVK,P2-Very High,88.2%,14,Month-to-month,100.2,1369.8,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Female,Yes
5229-PRWKT,P2-Very High,88.1%,8,Month-to-month,86.55,649.65,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
2799-ARNLO,P2-Very High,88.1%,5,Month-to-month,69.35,341.6,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Female,Yes
2485-ITVKB,P2-Very High,88.1%,2,Month-to-month,35.1,68.75,DSL,Electronic check,No,No,No,No,Yes,0,Yes,No,Female,Yes
1450-GALXR,P2-Very High,88.1%,10,Month-to-month,98.5,1058.25,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,No,No,Female,Yes
9633-XQABV,P2-Very High,88.1%,3,Month-to-month,70.25,229.7,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
4983-CCWMC,P2-Very High,88.1%,3,Month-to-month,69.6,207.4,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,Yes
4548-SDBKE,P2-Very High,88.0%,5,Month-to-month,85.2,474.8,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
9172-ANCRX,P2-Very High,88.0%,10,Month-to-month,98.7,973.25,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,No,No,Female,Yes
0013-EXCHZ,P2-Very High,88.0%,3,Month-to-month,83.9,267.4,Fiber optic,Mailed check,No,Yes,No,Yes,No,1,Yes,No,Female,Yes
2462-XIIJB,P2-Very High,88.0%,5,Month-to-month,92.5,452.7,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
3292-PBZEJ,P2-Very High,88.0%,11,Month-to-month,111.4,1183.05,Fiber optic,Electronic check,No,Yes,Yes,Yes,Yes,1,No,No,Male,Yes
0236-HFWSV,P2-Very High,87.9%,15,Month-to-month,93.35,1444.65,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
0925-VYDLG,P2-Very High,87.9%,3,Month-to-month,75.25,242.0,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
9940-RHLFB,P2-Very High,87.9%,1,Month-to-month,75.3,75.3,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
2424-WVHPL,P2-Very High,87.9%,1,Month-to-month,74.7,74.7,Fiber optic,Electronic check,No,Yes,No,No,No,1,No,No,Male,No
7932-WPTDS,P2-Very High,87.9%,1,Month-to-month,24.8,24.8,DSL,Electronic check,No,No,No,No,No,1,Yes,No,Female,Yes
3296-SILRA,P2-Very High,87.9%,1,Month-to-month,76.4,76.4,Fiber optic,Mailed check,No,No,Yes,No,No,1,Yes,No,Female,Yes
6110-OHIHY,P2-Very High,87.8%,3,Month-to-month,79.25,267.6,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,No
4060-LDNLU,P2-Very High,87.8%,7,Month-to-month,96.2,639.7,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,No
5091-HFAZW,P2-Very High,87.8%,2,Month-to-month,91.15,168.5,Fiber optic,Electronic check,Yes,No,Yes,Yes,No,0,No,No,Female,Yes
3329-WDIOK,P2-Very High,87.8%,3,Month-to-month,50.6,155.35,DSL,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Female,Yes
0258-NOKBL,P2-Very High,87.8%,3,Month-to-month,90.4,268.45,Fiber optic,Electronic check,No,No,Yes,No,Yes,0,No,No,Male,No
4759-TRPLW,P2-Very High,87.8%,1,Month-to-month,70.4,70.4,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Male,No
0195-IESCP,P2-Very High,87.8%,10,Month-to-month,85.25,855.3,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,No,Male,Yes
3452-GWUIN,P2-Very High,87.8%,19,Month-to-month,94.95,1760.25,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Female,Yes
9444-JTXHZ,P2-Very High,87.8%,1,Month-to-month,76.2,76.2,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,No,Male,No
0023-HGHWL,P2-Very High,87.8%,1,Month-to-month,25.1,25.1,DSL,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
5043-TRZWM,P2-Very High,87.7%,1,Month-to-month,75.55,75.55,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
4210-QFJMF,P2-Very High,87.7%,4,Month-to-month,79.15,317.25,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Female,Yes
7384-GHBPI,P2-Very High,87.7%,3,Month-to-month,35.15,99.75,DSL,Electronic check,No,No,No,No,Yes,0,Yes,No,Male,Yes
4112-LUEIZ,P2-Very High,87.7%,10,Month-to-month,89.5,863.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Male,Yes
2262-SLNVK,P2-Very High,87.7%,1,Month-to-month,70.1,70.1,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
6734-GMPVK,P2-Very High,87.7%,5,Month-to-month,105.3,550.6,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Male,No
2619-WFQWU,P2-Very High,87.7%,1,Month-to-month,70.15,70.15,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
9985-MWVIX,P2-Very High,87.7%,1,Month-to-month,70.15,70.15,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
8168-UQWWF,P2-Very High,87.7%,11,Month-to-month,97.85,1105.4,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,0,No,No,Female,Yes
9221-OTIVJ,P2-Very High,87.7%,14,Month-to-month,104.85,1531.4,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Female,Yes
1626-ERCMM,P2-Very High,87.7%,20,Month-to-month,94.55,1899.65,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Male,Yes
9617-INGJY,P2-Very High,87.7%,1,Month-to-month,70.6,70.6,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,Yes
9451-LPGOO,P2-Very High,87.6%,7,Month-to-month,86.8,620.35,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
7341-LXCAF,P2-Very High,87.6%,4,Month-to-month,74.65,301.4,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,No,Male,Yes
5565-FILXA,P2-Very High,87.6%,16,Month-to-month,96.15,1529.2,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
0923-PNFUB,P2-Very High,87.6%,3,Month-to-month,83.75,247.25,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,No,No,Female,No
2027-FECZV,P2-Very High,87.6%,12,Month-to-month,106.7,1253.9,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Male,Yes
8382-SHQEH,P2-Very High,87.6%,8,Month-to-month,84.9,764.95,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,No,Female,Yes
5357-TZHPP,P2-Very High,87.6%,9,Month-to-month,84.4,732.5,Fiber optic,Credit card (automatic),No,No,No,No,Yes,1,No,No,Male,Yes
3606-TWKGI,P2-Very High,87.5%,13,Month-to-month,106.9,1364.3,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,No,No,Male,Yes
5378-IKEEG,P2-Very High,87.5%,1,Month-to-month,35.75,35.75,DSL,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
2645-QTLMB,P2-Very High,87.5%,7,Month-to-month,94.25,669.0,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,No,No,Male,Yes
6892-EZDTG,P2-Very High,87.4%,4,Month-to-month,91.65,365.4,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,Yes,No,Female,Yes
2077-MPJQO,P2-Very High,87.4%,7,Month-to-month,75.4,533.05,Fiber optic,Electronic check,No,No,No,No,No,1,Yes,No,Male,Yes
1915-IOFGU,P2-Very High,87.4%,1,Month-to-month,70.5,70.5,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
5868-YWPDW,P2-Very High,87.4%,6,Month-to-month,84.2,519.15,Fiber optic,Electronic check,No,No,Yes,No,Yes,1,Yes,No,Male,Yes
8780-IXSTS,P2-Very High,87.4%,6,Month-to-month,90.1,521.3,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,No,No,Female,Yes
4395-PZMSN,P2-Very High,87.4%,5,Month-to-month,85.55,408.5,Fiber optic,Electronic check,No,No,Yes,No,Yes,1,No,No,Male,Yes
1925-TIBLE,P2-Very High,87.4%,7,Month-to-month,86.5,582.5,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Female,Yes
0388-EOPEX,P2-Very High,87.4%,2,Month-to-month,74.4,139.4,Fiber optic,Electronic check,Yes,No,No,No,No,0,Yes,No,Female,Yes
1768-ZAIFU,P2-Very High,87.4%,1,Month-to-month,25.2,25.2,DSL,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
2276-YDAVZ,P2-Very High,87.4%,3,Month-to-month,75.1,270.7,Fiber optic,Credit card (automatic),No,No,No,No,No,0,No,No,Female,Yes
1658-BYGOY,P2-Very High,87.3%,18,Month-to-month,95.45,1752.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
4806-KEXQR,P2-Very High,87.3%,4,Month-to-month,79.9,324.3,Fiber optic,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
9576-ANLXO,P2-Very High,87.3%,3,Month-to-month,69.55,222.3,Fiber optic,Bank transfer (automatic),No,No,No,No,No,0,No,No,Female,Yes
5698-BQJOH,P2-Very High,87.3%,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,No,No,Female,No
4952-YSOGZ,P2-Very High,87.3%,4,Month-to-month,85.95,381.3,Fiber optic,Electronic check,No,No,No,No,Yes,0,Yes,Yes,Female,Yes
0709-TVGUR,P2-Very High,87.3%,9,Month-to-month,74.55,622.9,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,Yes
5032-MIYKT,P2-Very High,87.3%,1,Month-to-month,70.7,70.7,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
6860-YRJZP,P2-Very High,87.2%,9,Month-to-month,74.05,678.45,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
6923-JHPMP,P2-Very High,87.2%,2,Month-to-month,80.45,137.1,Fiber optic,Electronic check,Yes,No,No,No,No,0,No,No,Female,Yes
2439-LYPMQ,P2-Very High,87.2%,38,Month-to-month,102.6,4009.2,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
8752-STIVR,P2-Very High,87.2%,4,Month-to-month,79.0,303.15,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
6229-LSCKB,P2-Very High,87.2%,6,Month-to-month,79.7,497.6,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Male,Yes
9894-EZEWG,P2-Very High,87.2%,1,Month-to-month,74.3,74.3,Fiber optic,Credit card (automatic),No,No,Yes,No,No,0,No,No,Female,Yes
0968-GSIKN,P2-Very High,87.2%,1,Month-to-month,70.8,70.8,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,Yes
0772-GYEQQ,P2-Very High,87.2%,3,Month-to-month,88.35,262.05,Fiber optic,Mailed check,No,Yes,No,Yes,No,0,No,No,Male,Yes
8808-ELEHO,P2-Very High,87.2%,8,Month-to-month,81.25,585.95,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Male,Yes
2691-NZETQ,P2-Very High,87.1%,9,Month-to-month,85.35,758.6,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
0011-IGKFF,P2-Very High,87.1%,13,Month-to-month,98.0,1237.85,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
6910-HADCM,P2-Very High,87.1%,1,Month-to-month,76.35,76.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
0365-BZUWY,P2-Very High,87.1%,17,Month-to-month,102.55,1742.5,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,Yes,No,Male,Yes
0508-OOLTO,P2-Very High,87.1%,2,Month-to-month,71.65,135.75,Fiber optic,Electronic check,No,No,No,No,No,0,Yes,Yes,Female,Yes
5884-GCYMI,P2-Very High,87.1%,1,Month-to-month,69.4,69.4,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,No
7330-WZLNC,P2-Very High,87.1%,5,Month-to-month,90.8,455.5,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,No,No,Female,Yes
4094-NSEDU,P2-Very High,87.1%,21,Month-to-month,94.25,1973.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
2688-BHGOG,P2-Very High,87.1%,9,Month-to-month,79.55,718.55,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Male,Yes
1567-DSCIC,P2-Very High,87.1%,8,Month-to-month,94.0,773.65,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,No,No,Male,Yes
8042-JVNFH,P2-Very High,87.1%,1,Month-to-month,71.35,71.35,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,Yes
3462-BJQQA,P2-Very High,87.0%,6,Month-to-month,89.75,552.65,Fiber optic,Electronic check,No,No,Yes,Yes,No,0,No,No,Female,Yes
4795-KTRTH,P2-Very High,87.0%,5,Month-to-month,81.0,371.65,Fiber optic,Electronic check,No,No,Yes,No,No,1,Yes,No,Female,Yes
7249-WBIYX,P2-Very High,87.0%,10,Month-to-month,85.6,813.85,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
8242-SOQUO,P2-Very High,87.0%,5,Month-to-month,84.7,392.5,Fiber optic,Electronic check,No,No,Yes,Yes,No,1,No,No,Female,Yes
0685-MLYYM,P2-Very High,87.0%,2,Month-to-month,70.75,154.85,Fiber optic,Electronic check,No,No,No,No,No,1,No,No,Female,No
5348-CAGXB,P2-Very High,87.0%,12,Month-to-month,89.55,1021.75,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
8245-UMPYT,P2-Very High,87.0%,16,Month-to-month,96.4,1581.2,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Female,Yes
7615-ESMYF,P2-Very High,87.0%,2,Month-to-month,44.6,97.1,DSL,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Female,No
3797-VTIDR,P2-Very High,87.0%,1,Month-to-month,23.45,23.45,DSL,Electronic check,No,No,No,No,No,0,Yes,No,Male,Yes
5288-AHOUP,P2-Very High,86.9%,11,Month-to-month,78.5,874.2,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Male,Yes
9840-EFJQB,P2-Very High,86.9%,1,Month-to-month,74.35,74.35,Fiber optic,Electronic check,No,No,Yes,No,No,0,No,No,Female,No
3217-FZDMN,P2-Very High,86.9%,8,Month-to-month,94.45,742.95,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,1,No,No,Female,Yes
6140-QNRQQ,P2-Very High,86.9%,1,Month-to-month,71.55,71.55,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Male,Yes
6645-MXQJT,P2-Very High,86.9%,2,Month-to-month,97.1,184.15,Fiber optic,Electronic check,Yes,No,No,Yes,Yes,0,Yes,Yes,Male,No
6688-UZPWD,P2-Very High,86.9%,11,Month-to-month,102.0,1145.35,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,0,Yes,No,Female,Yes
2123-AGEEN,P2-Very High,86.9%,7,Month-to-month,84.35,609.65,Fiber optic,Electronic check,No,No,No,Yes,No,1,No,No,Female,Yes
8225-BTJAU,P2-Very High,86.9%,10,Month-to-month,79.25,793.55,Fiber optic,Electronic check,No,No,No,No,Yes,1,No,No,Male,Yes
1173-XZPYF,P2-Very High,86.8%,11,Month-to-month,89.2,990.3,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
5293-WXJAK,P2-Very High,86.8%,11,Month-to-month,104.05,1133.65,Fiber optic,Bank transfer (automatic),No,Yes,No,Yes,Yes,1,Yes,No,Female,Yes
3370-HXOPH,P2-Very High,86.8%,3,Month-to-month,76.1,257.6,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
3177-LASXD,P2-Very High,86.7%,1,Month-to-month,71.35,71.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,No
4132-KALRO,P2-Very High,86.7%,4,Month-to-month,100.85,399.25,Fiber optic,Mailed check,No,Yes,No,Yes,Yes,0,No,No,Female,Yes
0916-QOFDP,P2-Very High,86.7%,14,Month-to-month,95.8,1346.3,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,Yes,Female,Yes
2959-MJHIC,P2-Very High,86.6%,4,Month-to-month,80.35,307.4,Fiber optic,Electronic check,No,No,No,Yes,No,0,Yes,No,Male,Yes
7952-OBOYL,P2-Very High,86.6%,3,Month-to-month,89.85,244.45,Fiber optic,Mailed check,No,Yes,No,Yes,No,0,No,No,Male,Yes
9547-ITEFG,P2-Very High,86.6%,9,Month-to-month,102.6,897.75,Fiber optic,Credit card (automatic),No,No,Yes,Yes,Yes,0,Yes,Yes,Male,Yes
4110-PFEUZ,P2-Very High,86.6%,1,Month-to-month,69.55,69.55,Fiber optic,Mailed check,No,No,No,No,No,0,No,No,Female,No
6100-QQHEB,P2-Very High,86.6%,17,Month-to-month,92.55,1515.1,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,Yes,Male,Yes
2215-ZAFGX,P2-Very High,86.6%,9,Month-to-month,85.5,791.7,Fiber optic,Electronic check,No,No,No,Yes,No,0,No,No,Male,Yes
0306-JAELE,P2-Very High,86.6%,5,Month-to-month,96.1,453.4,Fiber optic,Electronic check,No,Yes,No,Yes,Yes,0,No,No,Male,Yes
1866-RZZQS,P2-Very High,86.5%,41,Month-to-month,98.4,4187.75,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
0680-DFNNY,P2-Very High,86.5%,15,Month-to-month,101.1,1504.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,No,Male,Yes
9189-JWSHV,P2-Very High,86.5%,24,Month-to-month,93.55,2264.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,Yes,No,Female,Yes
4501-EQDRN,P2-Very High,86.5%,1,Month-to-month,69.7,69.7,Fiber optic,Bank transfer (automatic),No,No,No,No,No,0,No,No,Female,No
5419-CONWX,P2-Very High,86.5%,4,Month-to-month,99.8,442.85,Fiber optic,Credit card (automatic),No,No,Yes,Yes,Yes,1,No,No,Female,Yes
5995-SNNEW,P2-Very High,86.5%,23,Month-to-month,104.45,2184.85,Fiber optic,Electronic check,No,No,Yes,Yes,Yes,1,Yes,No,Male,Yes
0411-EZJZE,P2-Very High,86.4%,3,Month-to-month,60.25,170.5,DSL,Electronic check,No,No,No,Yes,No,0,No,No,Female,Yes
5168-MSWXT,P2-Very High,86.4%,8,Month-to-month,94.75,759.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,0,Yes,Yes,Male,Yes
0495-ZBNGW,P2-Very High,86.3%,5,Month-to-month,79.9,343.95,Fiber optic,Bank transfer (automatic),No,No,No,No,No,1,Yes,No,Male,Yes
4137-BTIKL,P2-Very High,86.3%,2,Month-to-month,90.75,174.75,Fiber optic,Mailed check,Yes,No,No,No,Yes,0,No,No,Male,No
4749-OJKQU,P2-Very High,86.3%,4,Month-to-month,75.65,302.35,Fiber optic,Electronic check,No,No,No,No,No,0,No,No,Female,Yes
6029-WTIPC,P2-Very High,86.3%,37,Month-to-month,101.1,3744.05,Fiber optic,Electronic check,No,No,No,Yes,Yes,1,No,No,Male,Yes
3583-EKAPL,P2-Very High,86.3%,1,Month-to-month,55.0,55.0,DSL,Electronic check,No,No,No,No,Yes,0,No,No,Male,Yes
